# debug_timelimit.txt — subproblems that hit Gurobi TimeLimit
# Format: [Iter N] [MS/CS TimeLimit] simplex_idx=..., verts=..., scenario=..., dual_bound=..., primal_obj=..., dual<primal=...

[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=0, dual_bound=1.0050154109910314, primal_obj=1.0050154109910314, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=1, dual_bound=0.9871781605801218, primal_obj=0.9871781605801216, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=2, dual_bound=0.9585900810259312, primal_obj=0.9585900810259309, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=3, dual_bound=1.0957846721076097, primal_obj=1.0957846721076097, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=4, dual_bound=1.0005775690580183, primal_obj=1.0005775690580183, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=5, dual_bound=0.9441163959078728, primal_obj=0.9441163959078728, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=6, dual_bound=1.0230376028181474, primal_obj=1.0230376028181478, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=7, dual_bound=0.947152963248026, primal_obj=0.947152963248026, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=8, dual_bound=1.0852064287243695, primal_obj=1.085206428724369, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=9, dual_bound=0.9630573610453957, primal_obj=0.9630573610453956, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=10, dual_bound=1.077193883782298, primal_obj=1.0771938837822972, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=0, verts=(0, 2, 3, 4), scenario=11, dual_bound=1.075285470852989, primal_obj=1.0752854708529889, dual<primal=False
