# debug_cs_timing.txt — NON-OPTIMAL c_s (Q-value) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 0] scenario=0, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0238s, status=time_limit, dual_bound=1.0050154109910314, primal_obj=1.0050154109910314
[Iter 0] scenario=1, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0143s, status=time_limit, dual_bound=0.9871781605801218, primal_obj=0.9871781605801216
[Iter 0] scenario=2, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0849s, status=time_limit, dual_bound=0.9585900810259312, primal_obj=0.9585900810259309
[Iter 0] scenario=3, simplex_idx=0, verts=(0, 2, 3, 4), time=3.3265s, status=time_limit, dual_bound=1.0957846721076097, primal_obj=1.0957846721076097
[Iter 0] scenario=4, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0103s, status=time_limit, dual_bound=1.0005775690580183, primal_obj=1.0005775690580183
[Iter 0] scenario=5, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0225s, status=time_limit, dual_bound=0.9441163959078728, primal_obj=0.9441163959078728
[Iter 0] scenario=6, simplex_idx=0, verts=(0, 2, 3, 4), time=3.1196s, status=time_limit, dual_bound=1.0230376028181474, primal_obj=1.0230376028181478
[Iter 0] scenario=7, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0091s, status=time_limit, dual_bound=0.947152963248026, primal_obj=0.947152963248026
[Iter 0] scenario=8, simplex_idx=0, verts=(0, 2, 3, 4), time=3.2327s, status=time_limit, dual_bound=1.0852064287243695, primal_obj=1.085206428724369
[Iter 0] scenario=9, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0821s, status=time_limit, dual_bound=0.9630573610453957, primal_obj=0.9630573610453956
[Iter 0] scenario=10, simplex_idx=0, verts=(0, 2, 3, 4), time=3.2187s, status=time_limit, dual_bound=1.077193883782298, primal_obj=1.0771938837822972
[Iter 0] scenario=11, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0739s, status=time_limit, dual_bound=1.075285470852989, primal_obj=1.0752854708529889
[Iter 0] scenario=12, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0115s, status=time_limit, dual_bound=0.954051812290237, primal_obj=0.954051812290237
[Iter 0] scenario=13, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0457s, status=time_limit, dual_bound=0.9777567849815537, primal_obj=0.9777567849815534
[Iter 0] scenario=14, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0358s, status=time_limit, dual_bound=1.0515073891699802, primal_obj=1.0515073891699804
[Iter 0] scenario=15, simplex_idx=0, verts=(0, 2, 3, 4), time=3.1278s, status=time_limit, dual_bound=1.0978765917842028, primal_obj=1.0978765917842035
[Iter 0] scenario=16, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0575s, status=time_limit, dual_bound=0.9580015296674049, primal_obj=0.9580015296674048
[Iter 0] scenario=17, simplex_idx=0, verts=(0, 2, 3, 4), time=3.1336s, status=time_limit, dual_bound=0.9643263952172724, primal_obj=0.9643263952172724
[Iter 0] scenario=18, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0116s, status=time_limit, dual_bound=0.9482743963342968, primal_obj=0.9482743963342968
[Iter 0] scenario=19, simplex_idx=0, verts=(0, 2, 3, 4), time=3.0963s, status=time_limit, dual_bound=0.9502919096119062, primal_obj=0.9502919096119061
[Iter 0] scenario=0, simplex_idx=1, verts=(0, 1, 3, 4), time=4.0221s, status=time_limit, dual_bound=0.9960029117495633, primal_obj=0.9960029117495635
[Iter 0] scenario=1, simplex_idx=1, verts=(0, 1, 3, 4), time=3.3928s, status=time_limit, dual_bound=0.9451261065634194, primal_obj=0.9451261065634192
[Iter 0] scenario=2, simplex_idx=1, verts=(0, 1, 3, 4), time=3.6274s, status=time_limit, dual_bound=0.9559333091533598, primal_obj=0.9559333091533598
[Iter 0] scenario=3, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0134s, status=time_limit, dual_bound=1.0551989603371958, primal_obj=1.055198960337196
[Iter 0] scenario=4, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0271s, status=time_limit, dual_bound=0.9683379558464811, primal_obj=0.9683379558464811
[Iter 0] scenario=6, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0987s, status=time_limit, dual_bound=1.0108195592959683, primal_obj=1.0108195592959686
[Iter 0] scenario=7, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0229s, status=time_limit, dual_bound=0.9470353778739138, primal_obj=0.9470353778739136
[Iter 0] scenario=8, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0562s, status=time_limit, dual_bound=1.0107665276029933, primal_obj=1.0107665276029931
[Iter 0] scenario=9, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0562s, status=time_limit, dual_bound=0.9569142275119016, primal_obj=0.9569142275119015
[Iter 0] scenario=10, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0551s, status=time_limit, dual_bound=0.9643374745497083, primal_obj=0.9643374745497085
[Iter 0] scenario=11, simplex_idx=1, verts=(0, 1, 3, 4), time=3.0294s, status=time_limit, dual_bound=1.0345497375732753, primal_obj=1.0345497375732755
